Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,C_0805_2012Metric,115.002,-75.896,0,top
C2,4.7u,C_0805_2012Metric,115.53,-67.069,0,top
C3,4.7u,C_0805_2012Metric,110.742,-68.229,90,top
C4,0.1u,C_0402_1005Metric,121.703,-43.662,180,top
C5,0.1u,C_0402_1005Metric,133.494,-77.6245,0,top
C6,1n,C_0402_1005Metric,131.543,-77.9425,180,top
C7,1n,C_0402_1005Metric,123.711,-43.665,0,top
C8,0.1u,C_0402_1005Metric,121.688,-47.789,180,top
C9,0.1u,C_0402_1005Metric,133.51,-73.4615,0,top
D1,ON,LED_0603_1608Metric,117.579,-73.785,180,top
FB1,FerriteBead,L_0603_1608Metric,122.179,-45.7135,-90,top
FB2,FerriteBead,L_0603_1608Metric,133.042,-75.5675,90,top
J1,V_SET_JMP,PinHeader_1x02_P2.54mm_Vertical,116.948,-62.889,-90,top
J2,USB_B_Micro,USB_Micro-B_Molex-105017-0001,116.783,-80.1595,0,top
J3,CLOCK_SMA,SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount,108.378,-59.923,-90,top
J4,PDAT_SMA,SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount,108.222,-46.266,-90,top
J5,PDAT_SMA_JMP,PinHeader_1x02_P2.54mm_Vertical,113.118,-51.322,180,top
J6,PDAT_L_JMP,PinHeader_1x02_P2.54mm_Vertical,115.555,-42.088,0,top
J7,PDAT_R_JMP,PinHeader_1x02_P2.54mm_Vertical,122.614,-70.09,180,top
J8,CLK_JMP_L,PinHeader_1x02_P2.54mm_Vertical,123.087,-38.177,-90,top
J9,CLK_JMP_R,PinHeader_1x02_P2.54mm_Vertical,123.193,-77.189,180,top
J10,LEFT_BIAS_JMP,PinHeader_1x02_P2.54mm_Vertical,122.881,-50.5,-90,top
J11,RIGHT_BIAS_JMP,PinHeader_1x02_P2.54mm_Vertical,128.35,-77.108,180,top
J12,RT_IN_SEL,PinHeader_1x03_P2.54mm_Vertical,132.436,-70.413,-90,top
J13,LEFT_IN_SEL,PinHeader_1x03_P2.54mm_Vertical,132.309,-50.486,-90,top
J14,RIGHT_SMA,SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount,138.508,-70.942,90,top
J15,LEFT_SMA,SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount,138.4385,-46.137,90,top
J16,AudioJack3,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,131.73,-59.344,-90,top
R1,15k,R_0402_1005Metric,114.848,-65.326,0,top
R2,18k,R_0402_1005Metric,116.937,-65.347,0,top
R3,1k,R_0402_1005Metric,117.965,-75.178,180,top
R4,33,R_0402_1005Metric,120.895,-42.354,180,top
R5,33,R_0402_1005Metric,132.715,-80.752,180,top
R6,2.2k,R_0402_1005Metric,119.263,-44.28,-90,top
R7,2.2k,R_0402_1005Metric,119.756,-45.8,0,top
R8,2.2k,R_0402_1005Metric,131.74,-76.057,90,top
R9,2.2k,R_0402_1005Metric,131.732,-74.07,90,top
TP1,V_IN,TestPoint_Keystone_5000-5004_Miniature,110.153,-75.324,0,top
TP2,GND,TestPoint_Keystone_5000-5004_Miniature,131.362,-35.232,180,top
TP3,VDDA,TestPoint_Keystone_5000-5004_Miniature,128.799,-42.912,180,top
U1,LT3042xMSE,MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm,113.588,-71.432,90,top
U2,FAN3852,FAN3852,122.739,-42.673,-90,top
U3,FAN3852,FAN3852,132.595,-79.099819,90,top
